City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
237,Umm Kaddadah,SD,13.6017,26.6876,83.35,13,99,12.03,overcast clouds
238,Esil,KZ,51.9556,66.4042,46.87,35,100,14.14,overcast clouds
239,Litovko,RU,49.2361,135.1742,40.21,66,7,10.42,clear sky
240,Viedma,AR,-40.8135,-62.9967,72.03,32,80,6.04,broken clouds
241,High Level,CA,58.5169,-117.136,46.51,71,100,16.11,moderate rain
242,Mitu,CO,1.1983,-70.1733,82.49,71,89,1.72,overcast clouds
243,Jiuquan,CN,39.7432,98.5174,58.05,19,100,10.09,overcast clouds
244,Verkhnetulomskiy,RU,68.6073,31.7962,44.73,87,97,8.77,overcast clouds
245,Kaitangata,NZ,-46.2817,169.8464,51.1,84,74,3.89,broken clouds
246,Bandarbeyla,SO,9.4942,50.8122,82.11,89,3,14.0,clear sky
247,Moron,AR,-34.6534,-58.6198,75.94,56,0,4.21,clear sky
248,Chikola,RU,43.1906,43.9209,40.05,97,100,1.57,light rain
249,Rameshki,RU,57.3439,36.0453,44.8,75,94,3.2,overcast clouds
250,Vila Velha,BR,-20.3297,-40.2925,78.75,89,100,10.36,overcast clouds
251,Cabo San Lucas,MX,22.8909,-109.9124,82.62,70,0,6.96,clear sky
252,Aklavik,CA,68.2191,-135.0107,28.4,74,100,3.44,shower rain
253,Tiarei,PF,-17.5333,-149.3333,82.42,80,9,7.27,light rain
254,Necochea,AR,-38.5473,-58.7368,63.9,63,11,3.71,few clouds
255,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,73,40,9.66,scattered clouds
256,Riyadh,SA,24.6877,46.7219,93.34,15,0,9.01,clear sky
257,Kurchum,KZ,48.5722,83.6542,61.12,42,2,5.99,clear sky
258,Camargo,MX,27.6667,-105.1667,89.4,8,0,1.32,clear sky
259,Boyolangu,ID,-8.1181,111.8935,76.26,94,65,0.25,broken clouds
260,Labuhan,ID,-6.8844,112.2051,78.85,89,100,5.66,overcast clouds
261,Kazanlak,BG,42.6167,25.4,48.94,85,62,3.6,broken clouds
262,Opuwo,NA,-18.0607,13.84,67.3,34,0,6.96,clear sky
263,Russell,US,32.3502,-85.1999,82.96,58,40,23.02,scattered clouds
264,Aginskoye,RU,51.1,114.53,38.19,25,9,7.02,clear sky
265,Kholm,RU,59.2667,32.85,45.41,91,82,7.23,broken clouds
266,Juntas,CR,10.2809,-84.9595,84.96,66,91,7.27,overcast clouds
267,San Patricio,US,28.017,-97.5169,89.69,47,0,13.49,clear sky
268,Coquimbo,CL,-29.9533,-71.3436,60.53,72,75,8.05,broken clouds
269,Rio Grande,BR,-32.035,-52.0986,73.51,63,6,4.38,clear sky
270,Saldanha,ZA,-33.0117,17.9442,55.45,90,43,11.36,scattered clouds
271,Kanakapura,IN,12.55,77.4167,86.07,61,100,3.18,overcast clouds
272,Maraba,BR,-5.3686,-49.1178,93.38,52,20,9.22,few clouds
273,Mahibadhoo,MV,3.7833,72.9667,84.29,76,47,14.07,scattered clouds
274,Eyrarbakki,IS,63.863,-21.1481,41.2,58,81,17.13,broken clouds
275,Fereydunshahr,IR,32.941,50.121,48.52,57,0,4.25,clear sky
276,Guarapari,BR,-20.6667,-40.4975,76.89,74,82,10.58,broken clouds
277,Larsnes,NO,62.2028,5.5773,50.41,91,100,9.78,light rain
278,Douglas,US,41.3,-96.167,68.59,64,75,9.22,broken clouds
279,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,77,20,11.5,few clouds
280,Le Moule,GP,16.3332,-61.3473,84.24,100,38,5.99,scattered clouds
281,Kasempa,ZM,-13.4584,25.8338,67.48,65,89,4.43,overcast clouds
282,Dudinka,RU,69.4058,86.1778,2.88,100,100,2.53,overcast clouds
283,Xuddur,SO,4.1213,43.8894,78.71,67,15,9.95,light rain
284,Port Keats,AU,-14.25,129.55,74.68,41,0,13.62,clear sky
285,Belmonte,BR,-15.8631,-38.8828,81.55,66,49,7.76,scattered clouds
286,Tomatlan,MX,19.9333,-105.25,91.09,39,12,12.12,few clouds
287,Batagay-Alyta,RU,67.8006,130.4114,17.1,84,100,4.54,overcast clouds
288,Asuncion,PY,-25.3007,-57.6359,78.24,57,75,0.0,broken clouds
289,Tungor,RU,53.3808,142.9564,31.03,96,100,12.95,overcast clouds
290,Ishigaki,JP,24.3448,124.1572,71.73,81,100,1.14,overcast clouds
291,Saint-Augustin,CA,51.226,-58.6502,40.01,51,100,11.61,overcast clouds
292,Filadelfia,US,39.9523,-75.1638,58.89,89,100,11.5,light rain
293,Gravdal,NO,68.1214,13.5031,46.29,93,75,16.11,moderate rain
294,Kungurtug,RU,50.5994,97.5228,40.98,68,10,1.68,clear sky
295,Mao,ES,39.8885,4.2658,64.96,52,20,11.5,few clouds
296,Menongue,AO,-14.6585,17.691,65.77,53,65,1.36,broken clouds
