City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Jumla,NP,2022-04-26 07:31:14,29.2747,82.1838,70.75,21,96,9.31
174,Maceio,BR,2022-04-26 07:28:05,-9.6658,-35.7353,74.64,88,40,1.14
175,Kirakira,SB,2022-04-26 07:31:15,-10.4544,161.9205,81.45,79,62,3.44
176,Mehamn,NO,2022-04-26 07:31:15,71.0357,27.8492,24.71,63,100,31.54
177,Ibra,OM,2022-04-26 07:31:15,22.6906,58.5334,96.89,18,8,8.84
178,Yumen,CN,2022-04-26 07:31:16,40.2833,97.2,67.46,11,98,15.39
179,Vihti,FI,2022-04-26 07:31:16,60.417,24.3197,45.86,62,69,8.01
180,Saint-Francois,FR,2022-04-26 07:31:17,46.4154,3.9054,49.44,93,100,5.75
181,Sao Jose Da Coroa Grande,BR,2022-04-26 07:31:17,-8.8978,-35.1478,78.35,78,84,10.54
182,Cozumel,MX,2022-04-26 07:31:17,20.5083,-86.9458,74.95,88,1,9.37
183,Zabol,AF,2022-04-26 07:32:18,32.25,67.25,79.41,9,11,11.77
184,Sitka,US,2022-04-26 07:32:18,57.0531,-135.33,44.49,81,100,0.0
185,Adre,TD,2022-04-26 07:32:19,13.4667,22.2,95.14,20,100,11.41
186,Sao Joao Da Barra,BR,2022-04-26 07:32:19,-21.6403,-41.0511,71.78,89,2,3.78
187,Vavuniya,LK,2022-04-26 07:32:20,8.7514,80.4971,98.58,36,3,1.88
188,Margate,GB,2022-04-26 07:32:20,51.3813,1.3862,51.12,69,6,8.99
189,Kaitangata,NZ,2022-04-26 07:32:21,-46.2817,169.8464,53.33,77,97,15.26
190,Holoby,UA,2022-04-26 07:32:21,51.0865,25.0077,51.06,72,100,10.13
191,Clyde River,CA,2022-04-26 07:32:21,70.4692,-68.5914,8.83,92,100,32.21
192,Salinas,US,2022-04-26 07:32:22,36.6777,-121.6555,54.57,78,0,4.61
193,Kalmar,SE,2022-04-26 07:32:22,56.6616,16.3616,53.15,69,0,1.99
194,Bawku,GH,2022-04-26 07:32:22,11.0616,-0.2417,88.34,47,18,10.49
195,Jhargram,IN,2022-04-26 07:29:06,22.45,86.9833,110.79,10,2,0.47
196,Nemyriv,UA,2022-04-26 07:32:23,48.9708,28.8378,59.2,60,12,15.05
197,Yerbogachen,RU,2022-04-26 07:32:24,61.2767,108.0108,36.36,65,100,5.28
198,Reconquista,AR,2022-04-26 07:30:22,-29.15,-59.65,71.56,96,28,9.4
199,Buala,SB,2022-04-26 07:32:24,-8.145,159.5921,81.77,79,36,3.51
200,Bay Roberts,CA,2022-04-26 07:32:25,47.5999,-53.2648,37.33,94,100,11.99
201,Lincoln,US,2022-04-26 07:30:03,40.8,-96.667,40.55,64,0,1.01
202,Nuevo Progreso,MX,2022-04-26 07:32:25,23.1667,-97.95,72.46,77,100,4.56
203,Baley,RU,2022-04-26 07:32:26,51.6,116.6333,39.69,32,91,12.84
204,Lima,PE,2022-04-26 07:28:29,-12.0432,-77.0282,66.9,80,0,9.22
205,Sao Filipe,CV,2022-04-26 07:32:26,14.8961,-24.4956,74.28,68,1,12.8
206,Ujjain,IN,2022-04-26 07:32:27,23.1833,75.7667,103.41,6,0,15.19
207,Gargzdai,LT,2022-04-26 07:32:27,55.7128,21.4033,46.18,53,65,6.62
208,Ariquemes,BR,2022-04-26 07:32:27,-9.9133,-63.0408,71.98,89,15,1.41
209,Kommunar,RU,2022-04-26 07:32:28,59.6206,30.39,49.51,69,48,9.04
210,Nishihara,JP,2022-04-26 07:32:28,26.1842,127.7558,85.66,89,40,16.11
211,Vieques,PR,2022-04-26 07:32:29,18.425,-65.8329,77.11,64,20,8.05
212,Kondinskoye,RU,2022-04-26 07:32:29,59.6481,67.41,42.98,95,92,5.77
213,Cabra,ES,2022-04-26 07:32:29,37.4725,-4.4421,58.26,51,100,1.1
